platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
8,XOne,Xbox One,Shooter,Shooter,90.32,33.58,1.37,268.96,4.07,524,1963,26.7,41.285,53.374,51.6617,62.9716,41.285,64.6566,51.6617,69.0824,136.7261
8,XOne,Xbox One,Sports,Sports,48.8,18.14,0.74,268.96,4.07,524,1963,26.7,41.285,53.374,62.9716,69.0824,41.285,64.6566,51.6617,69.0824,73.8732
8,XOne,Xbox One,Action,Action,46.68,17.36,0.71,268.96,4.07,524,1963,26.7,53.374,64.6566,51.6617,57.9247,41.285,64.6566,51.6617,69.0824,70.664
8,XOne,Xbox One,Action-Adventure,,20.36,7.57,0.31,268.96,4.07,524,1963,26.7,53.374,58.1375,57.9247,64.395,41.285,64.6566,51.6617,69.0824,30.8209
8,XOne,Xbox One,Racing,,14.75,5.48,0.22,268.96,4.07,524,1963,26.7,53.374,58.1375,64.395,69.0824,41.285,64.6566,51.6617,69.0824,22.3285
8,XOne,Xbox One,Role-Playing,,14.56,5.41,0.22,268.96,4.07,524,1963,26.7,58.1375,64.6566,57.9247,61.3057,41.285,64.6566,51.6617,69.0824,22.0409
8,XOne,Xbox One,Misc,,9.04,3.36,0.14,268.96,4.07,524,1963,26.7,58.1375,62.1935,61.3057,64.6797,41.285,64.6566,51.6617,69.0824,13.6847
8,XOne,Xbox One,Fighting,,5.49,2.04,0.08,268.96,4.07,524,1963,26.7,62.1935,64.6566,61.3057,64.6797,41.285,64.6566,51.6617,69.0824,8.3107
8,XOne,Xbox One,Music,,4.56,1.7,0.07,268.96,4.07,524,1963,26.7,58.1375,61.1048,64.6797,67.006,41.285,64.6566,51.6617,69.0824,6.9029
8,XOne,Xbox One,Platform,,4.07,1.51,0.06,268.96,4.07,524,1963,26.7,58.1375,61.1048,67.006,69.0824,41.285,64.6566,51.6617,69.0824,6.1611
8,XOne,Xbox One,Adventure,,3.63,1.35,0.05,268.96,4.07,524,1963,26.7,61.1048,62.9182,64.6797,67.71,41.285,64.6566,51.6617,69.0824,5.4951
8,XOne,Xbox One,Simulation,,3.48,1.29,0.05,268.96,4.07,524,1963,26.7,62.9182,64.6566,64.6797,67.71,41.285,64.6566,51.6617,69.0824,5.268
8,XOne,Xbox One,MMO,,1.63,0.61,0.02,268.96,4.07,524,1963,26.7,61.1048,62.9028,67.71,69.0824,41.285,64.6566,51.6617,69.0824,2.4675
8,XOne,Xbox One,Strategy,,1.08,0.4,0.02,268.96,4.07,524,1963,26.7,62.9028,64.0941,67.71,69.0824,41.285,64.6566,51.6617,69.0824,1.6349
8,XOne,Xbox One,Puzzle,,0.44,0.16,0.01,268.96,4.07,524,1963,26.7,64.0941,64.6566,67.71,68.894,41.285,64.6566,51.6617,69.0824,0.6661
8,XOne,Xbox One,Party,,0.05,0.02,0.0,268.96,4.07,524,1963,26.7,64.0941,64.4959,68.894,69.0824,41.285,64.6566,51.6617,69.0824,0.0757
8,XOne,Xbox One,Visual Novel,,0.02,0.01,0.0,268.96,4.07,524,1963,26.7,64.4959,64.6566,68.894,69.0824,41.285,64.6566,51.6617,69.0824,0.0303
9,PSP,PlayStation Portable,Action,Action,47.01,19.17,0.71,245.29,3.71,1340,1807,74.2,41.285,49.8213,69.0824,77.419,41.285,64.6566,69.0824,84.97,71.1635
9,PSP,PlayStation Portable,Sports,Sports,42.58,17.36,0.64,245.29,3.71,1340,1807,74.2,41.285,49.8213,77.419,84.97,41.285,64.6566,69.0824,84.97,64.4574
