Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Resident Evil 2,PS,1998.0,Action,9.2,364.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,8.8,197.0
Tekken 2,PS,1996.0,Fighting,8.9,102.0
Destiny,PS4,2014.0,Shooter,6.1,5380.0
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,8.9,62.0
Cooking Mama,DS,2006.0,Simulation,7.2,21.0
Assassin's Creed II,PS3,2009.0,Action,8.6,1202.0
Assassin's Creed,X360,2007.0,Adventure,7.7,1074.0
Forza Motorsport 3,X360,2009.0,Racing,8.0,516.0
Super Mario Advance,GBA,2001.0,Platform,7.8,41.0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,8.7,124.0
Batman: Arkham City,PS3,2011.0,Action,8.6,2162.0
Grand Theft Auto V,XOne,2014.0,Action,7.9,764.0
Mario Kart: Super Circuit,GBA,2001.0,Racing,8.3,108.0
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,7.1,156.0
Call of Duty: World at War,PS3,2008.0,Shooter,7.6,409.0
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,7.9,7064.0
Final Fantasy XIII,PS3,2009.0,Role-Playing,7.3,2483.0
Final Fantasy IX,PS,2000.0,Role-Playing,8.9,779.0
Assassin's Creed III,X360,2012.0,Action,6.7,1196.0
Final Fantasy X-2,PS2,2003.0,Role-Playing,6.6,400.0
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,5.4,898.0
Assassin's Creed II,X360,2009.0,Action,8.8,1305.0
Madden NFL 2004,PS2,,Sports,8.5,140.0
New Super Mario Bros. U,WiiU,2012.0,Platform,8.1,733.0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,8.8,245.0
Professor Layton and the Curious Village,DS,2007.0,Puzzle,8.6,147.0
FIFA Soccer 13,X360,2012.0,Action,6.1,403.0
Diablo III,PC,2012.0,Role-Playing,4.0,9629.0
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,7.6,100.0
Fable III,X360,2010.0,Role-Playing,6.5,604.0
Resident Evil 5,PS3,2009.0,Action,7.5,667.0
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,8.0,416.0
FIFA Soccer 11,PS3,2010.0,Sports,8.0,233.0
Resident Evil,PS,1996.0,Action,9.0,266.0
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,8.0,150.0
Tony Hawk's Pro Skater,PS,1999.0,Sports,9.2,69.0
Link's Crossbow Training,Wii,2007.0,Shooter,7.1,47.0
Fallout 3,X360,2008.0,Role-Playing,8.5,1655.0
Uncharted: Drake's Fortune,PS3,2007.0,Action,8.1,2306.0
Madden NFL 06,PS2,2005.0,Sports,8.0,121.0
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,8.2,3052.0
Assassin's Creed,PS3,2007.0,Adventure,7.3,769.0
God of War III,PS3,2010.0,Action,8.7,2633.0
Crash Team Racing,PS,1999.0,Racing,9.0,233.0
